date,2. high,5. volume,1. open,3. low,4. close
2014-09-19,99.7,271879400.0,92.7,89.95,93.89
2014-09-22,92.95,66332498.0,92.7,89.5,89.89
2014-09-23,90.48,38861975.0,88.94,86.62,87.17
2014-09-24,90.57,31864232.0,88.47,87.22,90.57
2014-09-25,91.5,28526179.0,91.09,88.5,88.92
2014-09-26,90.46,18339716.0,89.73,88.66,90.46
2014-09-29,89.7,25279264.0,89.62,88.02,88.75
2014-09-30,90.88,24408983.0,89.0,88.46,88.85
2014-10-01,88.94,24012926.0,88.7,86.04,86.1
2014-10-02,88.2,21469688.0,86.27,85.611,87.06
2014-10-03,89.94,18472777.0,88.1,87.65,88.1
2014-10-06,89.65,9276113.0,89.15,88.06,88.31
2014-10-07,89.7,12791745.0,87.95,87.06,87.67
2014-10-08,88.5,10255103.0,88.0,87.06,88.3
2014-10-09,90.35,21492810.0,88.51,88.0,88.79
2014-10-10,88.74,15424490.0,88.25,85.24,85.88
2014-10-13,86.89,14845004.0,86.85,84.92,85.12
2014-10-14,85.88,15567286.0,85.81,83.22,84.95
2014-10-15,86.49,16824274.0,84.04,82.81,85.6
2014-10-16,89.175,15216307.0,84.98,84.015,88.85
2014-10-17,90.9,17360731.0,90.4,87.6701,87.91
2014-10-20,89.5,9861999.0,88.0,87.86,88.26
2014-10-21,92.5,23207990.0,89.1,88.5,90.9
2014-10-22,93.5,20331868.0,92.25,91.01,91.63
2014-10-23,94.7,20576847.0,92.92,92.82,94.45
2014-10-24,98.0,32112882.0,95.07,94.78,95.76
2014-10-27,98.85,28236381.0,97.0,96.3,97.79
2014-10-28,100.67,32127642.0,99.84,98.61,99.68
2014-10-29,100.0,28655356.0,99.88,96.82,98.31
2014-10-30,99.44,15460454.0,98.48,97.3,98.73
2014-10-31,100.22,18128280.0,100.1,98.1356,98.6
2014-11-03,102.8,40787875.0,99.67,99.05,101.8
2014-11-04,106.359,67721166.0,100.425,99.51,106.07
2014-11-05,110.14,48283787.0,108.48,106.48,108.67
2014-11-06,111.7,33485283.0,109.3,107.21,111.57
2014-11-07,114.77,51457292.0,112.93,111.75,114.56
2014-11-10,119.45,75636276.0,117.27,115.2,119.15
2014-11-11,117.55,71152418.0,117.25,113.69,114.54
2014-11-12,119.07,53801203.0,115.05,114.02,118.2
2014-11-13,120.0,62162512.0,119.3,114.55,114.84
2014-11-14,115.39,29799885.0,115.06,113.35,115.1
2014-11-17,115.63,22539966.0,115.44,113.13,114.25
2014-11-18,114.38,41097971.0,114.33,110.41,110.81
2014-11-19,110.68,46810415.0,109.83,107.22,108.82
2014-11-20,112.44,36452611.0,107.81,107.26,109.82
2014-11-21,113.5,27404233.0,113.21,110.4354,110.73
2014-11-24,113.93,20598015.0,112.0,111.55,113.92
2014-11-25,115.17,23484800.0,114.94,112.33,113.47
2014-11-26,113.74,11832909.0,113.33,112.33,112.67
2014-11-28,113.23,8077842.0,113.14,111.11,111.64
2014-12-01,110.05,38464170.0,110.02,103.8961,105.99
2014-12-02,110.0,18785046.0,107.35,106.61,109.89
2014-12-03,111.68,16221061.0,110.4,108.798,110.64
2014-12-04,110.5,10838699.0,110.1,108.91,109.17
2014-12-05,110.35,12148064.0,109.6,107.76,107.9
2014-12-08,107.4,19191645.0,105.97,104.2101,105.07
2014-12-09,107.95,24848593.0,102.27,101.2,107.48
2014-12-10,107.38,18425955.0,107.09,103.51,103.88
2014-12-11,106.84,15677841.0,104.44,104.29,104.97
2014-12-12,107.45,14518618.0,104.7,104.179,105.11
2014-12-15,107.77,16521759.0,106.39,103.7,104.7
2014-12-16,107.68,21682427.0,103.75,103.7,105.77
2014-12-17,109.19,17311145.0,107.11,106.28,109.02
